r	c	alpha	beta	Q_E_bar	Q_E	Pi_E	Time_E	CPUTime_E	Comp_E
2	0.4	40	1	49	48	237.9094885	455325	2296750	14859
2	0.3	40	1	50	49	256.8373402	89025	442330	14052
2	0.2	40	1	53	52	276.4938046	227428	1125700	14280
2	1.8	20	0.5	37	28	19.49275576	585698	2937260	43312
2	1.7	20	0.5	39	31	31.44336388	411074	2052760	43910
2	1.6	20	0.5	40	32	44.18860305	1247725	6259140	41933
2	1.5	20	0.5	41	34	57.58759269	2184142	11043070	41794
2	1.4	20	0.5	43	35	71.52485623	1632594	8182760	41062
2	1.3	20	0.5	44	37	85.98615246	629170	3143560	40424
2	1.2	20	0.5	44	38	100.9004252	3267821	16398230	38018
2	1.1	20	0.5	45	39	116.2539008	1164531	5844800	35370
2	1	20	0.5	46	41	132.032706	315390	1574500	34239
2	0.9	20	0.5	47	42	148.2505294	1017769	5123590	32099
2	0.8	20	0.5	48	43	164.8906841	1198174	6003850	31439
2	0.7	20	0.5	49	45	181.958549	230113	1146350	30444
2	0.6	20	0.5	50	46	199.5040412	1179724	5938600	28620
2	0.5	20	0.5	51	48	217.5347428	192418	963840	27093
2	0.4	20	0.5	52	50	236.1167961	601341	3013130	25476
2	0.3	20	0.5	54	52	255.3416754	172096	853720	25167
2	0.2	20	0.5	56	55	275.3475635	274347	1369240	24015
2	1.8	10	0.25	40	26	17.40641486	2120110	10605830	102408
2	1.7	10	0.25	42	29	28.77221498	2430842	12190100	101398
2	1.6	10	0.25	45	31	41.09437872	2795588	14100680	104753
2	1.5	10	0.25	46	33	54.18413822	1835084	9196580	100930
2	1.4	10	0.25	48	35	67.92854547	4047830	20260810	99621
2	1.3	10	0.25	49	36	82.23480254	3837095	19345690	97617
2	1.2	10	0.25	50	38	97.09131019	1649235	9099170	91834
2	1.1	10	0.25	51	40	112.4326016	3871157	19405140	85303
2	1	10	0.25	52	41	128.2607902	1890448	9475810	80306
2	0.9	10	0.25	53	43	144.5619126	904329	4515790	77692
2	0.8	10	0.25	54	44	161.330142	4945977	24843280	72307
2	0.7	10	0.25	55	46	178.5929484	2317095	11681830	67283
2	0.6	10	0.25	56	48	196.3609635	1392425	6969700	62238
2	0.5	10	0.25	58	50	214.6742817	534124	2921030	57900
2	0.4	10	0.25	59	53	233.5946748	1566202	8103820	53712
2	0.3	10	0.25	61	56	253.2226685	2174212	10942960	48051
2	0.2	10	0.25	64	60	273.7256459	1778353	8942290	45234
2	1.8	5	0.125	45	23	14.58644297	5727154	28742780	257920
2	1.7	5	0.125	49	26	25.11084607	8920279	45713570	274221
2	1.6	5	0.125	52	29	36.81246848	7889733	40084660	278404
2	1.5	5	0.125	55	31	49.44228224	8527163	42747160	285983
2	1.4	5	0.125	57	34	62.86626576	5173299	26246220	282796
2	1.3	5	0.125	58	36	76.97590178	6333527	31955540	263415
2	1.2	5	0.125	60	38	91.70644735	7905105	40304760	258288
2	1.1	5	0.125	61	40	107.0168139	6187287	31514830	245911
2	1	5	0.125	63	42	122.8843146	5370231	27400750	237447
