r	c	alpha	beta	Q_Em	Pi_Em	Time_Em	CPUTime_Em	Comp_Em
2	1.5	6.25	0.125	35	64.45969446	1454	17260	1045
2	1.4	6.25	0.125	37	81.53245713	1737	20840	1191
2	1.3	6.25	0.125	40	99.64634546	2118	24930	1349
2	1.2	6.25	0.125	42	118.1638467	2469	28690	1490
2	1.1	6.25	0.125	45	137.6864588	2964	34300	1696
2	1	6.25	0.125	47	157.5182564	3291	37950	1874
2	0.9	6.25	0.125	50	178.3185391	3213	36650	2084
2	0.8	6.25	0.125	53	199.5789389	3805	42310	2363
2	0.7	6.25	0.125	56	221.4337658	4656	49880	2678
2	0.6	6.25	0.125	59	243.8712813	5532	61220	3002
2	0.5	6.25	0.125	62	266.9426082	6477	71950	3421
2	0.4	6.25	0.125	67	290.9016766	8153	90000	3967
2	0.3	6.25	0.125	72	315.6545798	10341	114460	4682
2	0.2	6.25	0.125	78	341.4918517	13669	148380	5610
