r	c	alpha	beta	Q_Tm	Pi_Tm	Time_Tm	CPUTime_Tm	Comp_Tm
2	0.9	2.5	0.0625	38	137.0885558	3724617	44633050	4374415
2	0.8	2.5	0.0625	41	153.4909771	4460342	53441340	4733403
2	0.7	2.5	0.0625	45	170.5605834	5371592	64363390	5177868
2	0.6	2.5	0.0625	49	188.3030404	6524103	78190440	5643087
2	0.5	2.5	0.0625	53	206.7960464	7738713	92715700	6083126
2	0.4	2.5	0.0625	59	226.1774763	9675329	115909640	6724127
2	0.3	2.5	0.0625	66	246.5794271	12243159	146680920	7468090
2	0.2	2.5	0.0625	75	268.2887825	15986041	191542350	8434921
2	1.8	100	2	39	29.03670601	43636	518600	229206
2	1.7	100	2	41	45.32561101	43822	523530	240778
2	1.6	100	2	43	62.27305195	48625	578440	251257
2	1.5	100	2	44	79.77863084	47382	566300	260235
2	1.4	100	2	45	97.76935039	51289	610410	266749
2	1.3	100	2	46	116.2114331	54353	645370	274198
2	1.2	100	2	47	135.081983	55977	669130	279177
2	1.1	100	2	49	154.3809174	54916	652000	292456
2	1	100	2	50	174.079467	59583	709860	298786
2	0.9	100	2	51	194.1848021	61309	731200	303928
2	0.8	100	2	52	214.7031141	61650	734920	310503
2	0.7	100	2	53	235.6465474	62795	748610	318194
2	0.6	100	2	54	257.0360237	61592	733540	325699
2	0.5	100	2	56	278.9124204	66396	791680	338481
2	0.4	100	2	57	301.3252033	70440	837980	345722
2	0.3	100	2	59	324.3517743	70564	842130	360970
2	0.2	100	2	61	348.127685	74098	884190	376379
2	1.8	50	1	38	28.28899448	63348	755540	327846
2	1.7	50	1	40	44.32137061	65001	775360	349637
2	1.6	50	1	41	61.04300575	68111	812760	363566
2	1.5	50	1	43	78.38186466	72941	870680	381102
2	1.4	50	1	44	96.21996919	74303	883020	394743
2	1.3	50	1	46	114.5663091	79248	946080	415693
2	1.2	50	1	47	133.3556321	81306	969050	427567
2	1.1	50	1	48	152.5819787	85575	1019790	439760
2	1	50	1	50	172.2494135	87981	1048840	455955
2	0.9	50	1	51	192.3549282	90481	1075080	471467
2	0.8	50	1	52	212.8967236	92835	1106070	483239
2	0.7	50	1	53	233.8870587	96378	1149150	496150
2	0.6	50	1	55	255.3773345	98846	1178060	516183
2	0.5	50	1	56	277.3679816	104347	1244680	529686
2	0.4	50	1	58	299.9463882	106218	1266920	553107
2	0.3	50	1	60	323.1792521	113871	1355930	577880
2	0.2	50	1	63	347.2277344	119767	1429880	608426
2	1.8	25	0.5	35	27.30129097	104591	1248250	508926
2	1.7	25	0.5	37	42.97723474	114539	1367170	552770
2	1.6	25	0.5	40	59.44769356	131313	1564510	602702
2	1.5	25	0.5	41	76.52157257	138374	1648930	628887
2	1.4	25	0.5	43	94.18946567	147367	1759180	665150
2	1.3	25	0.5	45	112.3722585	157763	1881850	698819
2	1.2	25	0.5	46	131.0375112	166190	1982440	724404
2	1.1	25	0.5	48	150.1950681	176085	2099520	759809
2	1	25	0.5	49	169.8096869	184319	2197520	788797
2	0.9	25	0.5	51	189.9086148	200059	2387010	827862
2	0.8	25	0.5	52	210.4722071	203203	2424560	850259
2	0.7	25	0.5	54	231.5484738	219149	2613380	889512
2	0.6	25	0.5	56	253.1421921	226809	2707130	933910
2	0.5	25	0.5	58	275.3002785	244288	2914520	972371
2	0.4	25	0.5	60	298.0860483	260607	3108880	1017030
2	0.3	25	0.5	63	321.5960551	282566	3368830	1078868
2	0.2	25	0.5	66	345.9995341	306125	3652560	1149554
